id,path,predicted_sentence,error_message,error_type
0,352830655_1_87605_1.wav,videoselektor yig'ilishda suvdan tejab,,
1,352830655_1_87701_1.wav,OTBning maslahatchi sifatida roli xorijiy kompaniyalardan tushgan,,
1,352830655_1_80046_1.wav,O'zbekiston sanitariya epidemiologik osoyishtalik agentligi matbuot,,
2,352830655_1_87620_1.wav,Rossiya hukumati raisi Mixail Mishustin uzoq,,
3,352830655_1_86228_1.wav,Ekipaj Toshkent aeroporti hududiga kirganiga,,
3,352830655_1_87000_1.wav,qanday o'tgan haqida materiallar tayyorlandi.,,
4,352830655_1_87599_1.wav,Yig'ilishda paxta-to'qimachilik klasterlari samaradorligini oshirish.,,
5,352830655_1_79951_1.wav,butun mahalla faollari uchastka nozirlari Andijondagi ishsizlar yo'q,,
6,352830655_1_87575_1.wav,"Xo'sh, kartoshka narxlar keskin ko'tarilishiga nima sabab bo'ldi?",,
6,354527410_1_15753_1.wav,"Dunyoning kerakligini bozorda bildim, oxiratning kerakligini mozorida.",,
7,35_data_35-111.wav,Qiz tasviri olovga yaqinlashganda yuzi qizarib bo'g'riqqandek.,,
7,352830655_1_86203_1.wav,"Reuters (Manila, Filippin) via halokatda qizi bilan vafot etgan amerikalik",,
8,35_data_35-103.wav,Qora xalq orasidan chiqqan menday bir suratkashning shoh qiziga muhabbat qo'yishi kulgili emasmi?,,
8,352830655_1_87623_1.wav,Xitoyning barcha provinsiyalarida koronavirusni yuqtirib olish holatlari qayd etilgan.,,
9,35_data_35-1.wav,Agar o'sha bek sandiqdagi suratlarini qo'lga tushirsa,,
9,352830655_1_87535_1.wav,"Italiyaning Treviso, Shveytsariyaning Lozanna va Niderlandiyaning Utrecht.",,
10,352830655_1_79964_1.wav,Toshkent shahar hokimi lavozimiga qayta tasdiqlangan Jahongir Otiqxo'jayev,,
11,352830655_1_87633_1.wav,"Shuningdek, sog'liqni saqlash vazirligi koronavirusning O'zbekistonga",,
12,352830655_1_87636_1.wav,"Kommersant ma'lum bo'lishicha, devon",,
13,352830655_1_87640_1.wav,"Eslatib o'tamiz, anjuman vaqtida Erdog'on Turkiya Liviyaga",,
14,352830655_1_87676_1.wav,Italiya kubogi yarim final bahslari Inter - Napoli,,
14,35_data_35-105.wav,Men faqat o'zim chizgan suratga,,
15,352830655_1_87656_1.wav,Ayni paytda Farg'ona viloyatidagi Farg'ona Qirg'uli,,
16,352830655_1_87637_1.wav,"Uning aytishicha, bu kabi kunda hodisalarning kelajak",,
16,352830655_1_87674_1.wav,O'zbek paxtasini boykot qilgan.,,
17,35_data_35-121.wav,Sen bunday go'zal suratni ikkinchi marta chiza olmas sen.,,
17,352830655_1_87647_1.wav,Ispaniyalik hujumchi Paco Alcácer Dortmundning,,
18,352830655_1_87658_1.wav,Andijon viloyatidagi Xo'jaobod filiallarida mijozlarimiz,,
18,35_data_35-115.wav,"Ichki bir ovoz uni ""Qo'rqoq sen""",,
19,352830655_1_87690_1.wav,"Bundo, ""Deportivo"" Kataloniya klubi o'yin amaliyoti kamligiga qaramay,",,
20,352830655_1_87727_1.wav,zavodlari Xitoyda joylashgan smartfonlar ishlab chiqaruvchilari Rossiyaga,,
21,352830655_1_87740_1.wav,Xubey (Xitoy) Xubey provinsiyasidan kelayotgan erkak Yanszi daryosi ustidagi,,
22,352830655_1_87720_1.wav,Ekologik sertifikatlash organi tomonidan mazkur transport vositalarining,,
22,35_data_35-122.wav,tasvirga bunchalik tirik joziba baxsh eta olganing,,
23,35_data_35-126.wav,Mulla Fazliddin suratni tag qutiga qaytarib soldi-yu,,
23,352830655_1_87679_1.wav,Ayni paytda energoblok ta'mirga chiqarilgan.,,
24,352830655_1_87737_1.wav,Horror ters Milan Italiya ayol Netflixning,,
24,35_data_35-139.wav,Bizning suyangan tog'imiz siz edingiz.,,
25,35_data_35-13.wav,Men podshoh hazratlarining huzurlariga panoh istab ketishga majbur bo'lurman.,,
25,352830655_1_87750_1.wav,Durov bu haqda Telegraph platformasidagi WhatsApp'dan foydalanish,,
26,352830655_1_88443_1.wav,Shunday arizalarni yuborayotgan fuqarolarga iltimosnoma yo'lladi.,,
26,35_data_35-26.wav,Bu gapni dorug'aga yetkazganini,,
27,35_data_35-16.wav,Hazrati Alining huzuriga sizdan ham oldin bas bir gaplaringiz yetib borishi mumkin.,,
27,352830655_1_88476_1.wav,dediya xabar bermoqda Daryo muxbiri Muslimbek Ibrohimov.,,
28,352830655_1_87746_1.wav,"Tas, Kaliforniya, AQSH, Alissa Altobellining do'stlari.",,
28,35_data_35-141.wav,Endi siz ham quvg'inga uchragan bo'lsangiz,,
29,35_data_35-27.wav,Endi dorug'a buni podshohga dasturxon qilib olib borishi mumkinligini sezdi-yu,,
29,352830655_1_87775_1.wav,Shavkat Mirziyoyev amaldorlar mol-mulkining daromadiga,,
30,35_data_35-23.wav,degan gustaxona aqidalar bizga ma'lum.,,
30,352830655_1_96145_1.wav,tumanida agro xizmatlar markazini ishga tushirish bo'yicha topshiriq berildi.,,
31,35_data_35-24.wav,Mulla Fazliddin bugun Quvada pochchasining uyida bexosdan aytib yuborgan bu e'tiqodini boshqa ishongan odamlarga ham aytgan paytlari bo'lgan edi.,,
31,352830655_1_96181_1.wav,faqatgina instruktor va harbiy maslahatchilarni yuborganini ma'lum qildi.,,
32,352830655_1_88456_1.wav,yangi muammo: bozorda tayyor avtomobillarga bo'lgan talabning pastligi.,,
32,35_data_35-135.wav,Po'lat sandiqda Xonzoda begimning surati borligini ularga ham aytmadi.,,
33,352830655_1_96170_1.wav,Xitoydan hozircha evakuatsiya qilmaydi.,,
34,352830655_1_88526_1.wav,Iqtisodiyotda real foiz stavkalarining ijobiyligini ta'minlash choralari ko'riladi.,,
34,35_data_35-42.wav,Men hammasiga Mirzo hazratlarining muborak nomlarini bitgan men.,,
35,35_data_35-29.wav,Lekin dorug'aga sir boy berish qanchalik xatarli ekanini payqab,,
35,352830655_1_96248_1.wav,xodimlar tomonidan kaltaklanish oqibatida vafot etgani aytilmoqda.,,
36,352830655_1_96281_1.wav,Siz Yanshuo ko'prigidagi nazorat o'tkazish funksiyalaridan o'tmoqda.,,
36,35_data_35-4.wav,degan o'y Mulla Fazliddinning ichini muzlatib o'tdi.,,
37,35_data_35-5.wav,Bular mening qonimga shunchalik tashnam?,,
37,352830655_1_96241_1.wav,Kompaniya tomonidan loyiha konsepsiyasining taqdim etilishiga kelishib oldi.,,
38,352830655_1_96278_1.wav,Black Moon seriali reklamasi instalyatsiyasini kuzatmoqda.,,
38,35_data_35-50.wav,Dorug'a bu mantiqli dalillarni rad eta olmasdan,,
39,35_data_35-100.wav,bilinar-bilinmas nafis harakatlar qilayotganga o'xshab ketdi.,,
40,35_data_35-67.wav,Mendek jangovar beklar uchun podshoh hozir sizdeklardan qanchasining bahridan o'tur.,,
40,35_data_35-10.wav,Men sizdan adolat istab keldim.,,
41,35_data_35-102.wav,Bu joziba Mulla Fazliddinni har galgiday yana sehrlab oldi.,,
41,35_data_35-69.wav,deb Mulla Fazliddin mahkamadan shart bilan tashqariga chiqdi.,,
42,35_data_35-113.wav,Mulla Fazliddin tirik odamni o'ldirayotgandek.,,
42,35_data_35-71.wav,Podshoh huzuriga arzga boradiganga o'xshardi.,,
43,35_data_35-6.wav,"Balki Ahmad Tanbal, Xonzoda Begimni ham shu surat orqali qo'lga tushirmoqchidir.",,
43,35_data_35-133.wav,"Mana, hozir opasining uyida o'tirib",,
44,35_data_35-101.wav,Qizning aqlini shoshiradigan jozibasi bor edi.,,
44,35_data_35-7.wav,Hali o'ylamagan bu bek podshohga kuyov va Xonzodabegimdek go'zal qizga er bo'lishni jon dili bilan istasa kerak.,,
45,35_data_35-65.wav,Atrofimizni yog'iy bosgan bu xatarli damlarda podshohga me'mordan ko'ra navkar zarurroq.,,
45,35_data_35-22.wav,faqat me'mor va musavvirlar yaratgan zo'r san'at asarlari tirik qolaverdi.,,
46,35_data_35-74.wav,yo'q qurshovida qolayotgan Umar Shayx Mirzo bitta me'morini deb 100,,
46,35_data_35-11.wav,Podshoh hazratlari meni sizning himoyangizga topshirgan edilar.,,
47,35_data_35-117.wav,dushmanlaring ustingga bostirib,,
47,35_data_35-72.wav,lekin u otlanib uyiga qaytayotganda sal hovuridan tushdi-yu,,
48,35_data_35-75.wav,200 dan navkar bor zo'ravon beklarga qarshi bormasligi aniq.,,
48,35_data_35-28.wav,Badanidan sovuq ter chiqib ketdi.,,
49,35_data_35-36.wav,Hammasiga Mirzo hazratlarining nomlarini bitmoqda men.,,
