id,path,predicted_sentence,error_message,error_type
0,common_voice_uz_29056054.mp3,kitobda yozilgan oq yo'l,,
1,common_voice_uz_29056132.mp3,"Biz biror ishda muvaffaqiyat qozonar ekanmiz, tabiiyki, u ish uchun ularning haqqini ishlatib yuboramiz.",,
2,common_voice_uz_29056506.mp3,O'zbek optovani oldi.,,
3,common_voice_uz_29056053.mp3,"U odamlarni tinch qo'yaylikda, masalaga imonga qat'iyat nuqtai nazaridan boqaylik.",,
4,common_voice_uz_29056015.mp3,Davlat rahbari ijtimoiy-iqtisodiy islohotlarni ilgari surish va demokratik islohotlarni chuqurlashtirish muhimligini ta'kidladi.,,
5,common_voice_uz_29055349.mp3,"vaqt yoki dam olish vaqti adras ko'ylakni kiyib, gul ko'tarib borish qaysi qizga yoqadi?",,
6,common_voice_uz_29056051.mp3,Sovet tizimining iqtisodi tamoman neft eksportiga qurilgan edi.,,
7,common_voice_uz_29007503.mp3,Jonsiz va jonsiz narsalarni bildiruvchi boshqa so'zlar bilan ishlatish xatodir.,,
8,common_voice_uz_29055365.mp3,"Mansab pillapoyalaridan ko'tarilganda xalqqa zulm qilmay, tavozeli bo'lganlar qalbi siniqlaridir.",,
9,common_voice_uz_29055855.mp3,"Hukumatning tepasidagi juda katta amaldorlarning million-million dollar turadigan uylari, qimmatbaho mashinalari borligini ko'rganmiz.",,
10,common_voice_uz_29056915.mp3,"Darvoqe, Maykl futbolchilik paytida Arsenaldan ham ko'proq Evertonda o'ynagan.",,
11,common_voice_uz_29068020.mp3,"Kitobni iqtisodchilar yozishgan, lekin mavzu sun'iy intellektning iqtisodiyot va hayotimizga ta'siri haqida.",,
12,common_voice_uz_29057090.mp3,"Menimcha, bu o'lim epidemiyani oldini olmaslikka haqqimiz yo'q.",,
13,common_voice_uz_29059543.mp3,butun bir mamlakat byudjetini salkam krizisga tiqding-ku,,
14,common_voice_uz_29057197.mp3,Do'sting yoki boshqa kishi muhimligi haqidagi qaror o'zing qabul qilishing kerak.,,
15,common_voice_uz_29064739.mp3,Birlashgan Millatlar Tashkilotining tarixi inson huquqlarini universal qadriyat ekanini yaqqol isbotladi.,,
16,common_voice_uz_29064786.mp3,Shu sarlavhani o'ylab topgan xodim bilan minimum yaxshilab suhbat o'tkazish kerak.,,
17,common_voice_uz_29068305.mp3,Shahar ilk o'rta asrlardan boshlab hunarmandchilik va madaniy hayotning markaziga aylangan.,,
18,common_voice_uz_29068227.mp3,Hayolida shu kabi javobsiz savollarni tinimsiz haydar edi.,,
19,common_voice_uz_29068367.mp3,Administratsiyadagi siyosiy texnologlar hozir shuni ustida ishlashyapti.,,
20,common_voice_uz_29068532.mp3,"Bu esa, asosan o'yinni buzish uchun tayyorlangandi, deyish mumkin.",,
21,common_voice_uz_29069029.mp3,Ushbu virusning haddan tashqari tez tarqalishi butun dunyo bo'ylab qilingan tadqiqotlarda uchraydi.,,
22,common_voice_uz_29069840.mp3,Primitiv guruhlar odatda guruh rahbari va yaqinlari manfaatlariga ishlaydi.,,
23,common_voice_uz_29074244.mp3,Bir paytlar juda mashhur bo'lgan loyihasi qayta tiklanganda u qadar muvaffaqiyatli bo'lmadi.,,
24,common_voice_uz_29068992.mp3,Moskvich jo'nab ketganidan keyin ayrim gaplarni ayta olmay qolganim o'zimga nasha qildi.,,
25,common_voice_uz_29075556.mp3,Bir paytlar juda mashhur bo'lgan loyihasi qayta tiklanganda u qadar muvaffaqiyatli bo'lmadi.,,
26,common_voice_uz_29074351.mp3,qisqasi faqat terror tashkilotchilari aytgan ro'yxatga qo'l qo'yish qolgan xolos,,
27,common_voice_uz_29075475.mp3,"Qisqasi, faqat terror tashkilotchilari aytgan ro'yxatlarga qo'l qo'yishgan xolos.",,
28,common_voice_uz_29074283.mp3,"Musibat yomonlarning zulmida emas, yaxshilarning jim turishida.",,
29,common_voice_uz_29085431.mp3,Tashqi ishlar vaziri Abdulaziz Komilov Vengriyaning Favqulodda va Muxtor Elchisi Gyula Kovachni qabul qildi.,,
30,common_voice_uz_29085376.mp3,Tashqi ishlar vaziri Abdulaziz Komilov Vengriyaning favqulodda va muxtor elchisi Gyulo Kovachni qabul qildi.,,
31,common_voice_uz_29085712.mp3,"Olim shu ahvolda tramvayga chiqishdan eymanib, uyiga piyoda ketsa, hayratlanmay ilojim yo'q.",,
32,common_voice_uz_29085670.mp3,Bolam non-non deyapti. It non so'zini eshitdi deb o'yladi.,,
33,common_voice_uz_29085727.mp3,U La Ligadagi oxirgi ikki o'yinda 21 marotaba darvozaga zarba berdi.,,
34,common_voice_uz_29128836.mp3,"Xarakteridan uncha ko'nglim to'lmasada, rus tilida ixtisoslashgan gruppa qilish niyatida ishga oldim.",,
35,common_voice_uz_29126479.mp3,Lekin bizda hatto isbot qilish mumkin bo'lgan voqealar ham tergov qilinmasligi achinarli.,,
36,common_voice_uz_29129730.mp3,Millatda ham amaldagi davlat rahbariga qarshi hech qanday nojo'ya harakatlar qilinmaydi.,,
37,common_voice_uz_29129665.mp3,"Bunday qilishga sabab, Moskva Armanistonning boshqa iloji yo'qligini aniq ko'rsatganidir.",,
38,common_voice_uz_29131046.mp3,"Sabot, mehr degan kuchlarga oshno qilishga urindi.",,
39,common_voice_uz_29085767.mp3,O'ng oyoqli chap qanot himoyachilar top klublarda va katta milliy jamoalarda ham uchraydi.,,
40,common_voice_uz_29129900.mp3,Har bir asarning oxiri mazmunli tugashi kitobning mashhur bo'lishida muhim ahamiyatga ega.,,
41,common_voice_uz_29131474.mp3,"Uni maydon tashqarisida ham yaxshi taniymiz, biroz aralashchi, biroz maqtanchoq, biroz quvnoq.",,
42,common_voice_uz_29131202.mp3,Bir kuni ishdan qaytgan ota bolasi o'yinchoqlarni yoyib olib o'ynayotganini ko'rdi.,,
43,common_voice_uz_29131757.mp3,Boshingda quyosh charaqlab turganda izingdan qolmaydigan do'st shunchaki do'st.,,
44,common_voice_uz_29145962.mp3,Interstellar filmida bir gap bor. Otalar bir kun kelib farzandlarining xotirasiga aylanib qolishadi.,,
45,common_voice_uz_29141352.mp3,Hamma narsaga rozi bo'lib ketmayotganlar shu yurtning asl vatanparvarlaridir.,,
46,common_voice_uz_29145835.mp3,"Ona yana qaytib so'qmoqqa tushdi, qo'ltiq tugunini mahkamroq bosdi.",,
47,common_voice_uz_29151953.mp3,20 yil oldin 1-may oqshomini qanday nishonlaganimiz kechagidek esimda.,,
48,common_voice_uz_29142054.mp3,Ko'pincha pul yuvilishi noqonuniy topilgan pullarni legallashtirish bilan bog'liq bo'ladi.,,
49,common_voice_uz_29152972.mp3,Amma tadbirchilikning bundan-da ajoyib va fazilatli jihatlari bor.,,
50,common_voice_uz_29151956.mp3,"yugurib chiqib qarasam, tunuka tom peshidagi taxta",,
