id,path,type,duration,char_count,word_count,text_spt,text_original,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
0,00003_augmented_spd_nse.wav,train,8.5481,126.0,15.0,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mahirday platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mohirdev platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mahirday platformasiga rahmat,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mohirdev platformasiga rahmat,0.0667,0.0244,0.9756,15,15,True,1.0587,False,True,False,AugmentationType.SPEED|NOISE
1,00003_augmented_pch_msk.wav,train,9.05,126.0,15.0,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mahirday platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mohirdev platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mahirday platformasiga rahmat,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mohirdev platformasiga rahmat,0.0667,0.0244,0.9756,15,15,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
2,00139_augmented_spd_nse.wav,train,12.7328,126.0,19.0,"kerak bo'ladi. Bu haqida aytib oldim. Endi tadqiqotni o'zi nima edi? Shuni aytib beradigan bo'lsam, chatdan xabar olaman.",kerak boʻladi. Bu haqida aytib oldim. endi tadqiqotni oʻzi nima edi? Shuni aytib beradigan boʻlsam. Chatdan xabar olib olaman.,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olaman,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olib olaman,0.0556,0.0431,0.9789,18,19,True,1.0727,False,True,False,AugmentationType.SPEED|NOISE
3,00139_augmented_pch_msk.wav,train,13.6587,126.0,19.0,"kerak bo'ladi. Bu haqida aytib oldim. Endi tadqiqotni o'zi nima edi? Shuni aytib beradigan bo'lsam, chatdan xabar olaman.",kerak boʻladi. Bu haqida aytib oldim. endi tadqiqotni oʻzi nima edi? Shuni aytib beradigan boʻlsam. Chatdan xabar olib olaman.,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olaman,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olib olaman,0.0556,0.0431,0.9789,18,19,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
4,00140_augmented_spd_nse.wav,train,16.7766,162.0,23.0,"Keyin qanaqa qilib GitHubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A, yo'q, fatality emas, stability. Ya'ni sizni","keyin qanaqa qilib Githubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A yo'q, fatality emas. C stability. Ya'ni sizni",keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas stability ya'ni sizni,keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas c stability ya'ni sizni,0.0455,0.013,0.9935,22,23,True,0.961,False,True,False,AugmentationType.SPEED|NOISE
5,00140_augmented_pch_msk.wav,train,16.1227,162.0,23.0,"Keyin qanaqa qilib GitHubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A, yo'q, fatality emas, stability. Ya'ni sizni","keyin qanaqa qilib Githubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A yo'q, fatality emas. C stability. Ya'ni sizni",keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas stability ya'ni sizni,keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas c stability ya'ni sizni,0.0455,0.013,0.9935,22,23,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
6,00187_augmented_spd_nse.wav,train,14.6399,148.0,22.0,Shunaqa ko'rinishda tasavvur qilaman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. Mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilmayman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilaman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,shunaqa ko'rinishda tasavvur qilmayman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,0.0455,0.0142,0.993,22,22,True,0.9206,False,True,False,AugmentationType.SPEED|NOISE
7,00187_augmented_pch_msk.wav,train,13.4774,148.0,22.0,Shunaqa ko'rinishda tasavvur qilaman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. Mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilmayman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilaman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,shunaqa ko'rinishda tasavvur qilmayman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,0.0455,0.0142,0.993,22,22,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
8,00189_augmented_spd_nse.wav,train,13.2024,86.0,12.0,"Xo'p, yaxshi savollar kelibdi yana, ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.","yaxshi savollar kelibdi yana. Ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.",xo'p yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,0.0769,0.0581,0.9701,13,12,True,0.9234,False,False,False,AugmentationType.SPEED|NOISE
9,00189_augmented_pch_msk.wav,train,12.1914,86.0,12.0,"Xo'p, yaxshi savollar kelibdi yana, ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.","yaxshi savollar kelibdi yana. Ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.",xo'p yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,0.0769,0.0581,0.9701,13,12,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
