id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
0,14568.wav,"Mana hozir istalgan o'quvchini istalgan ma'lumotini o'zgartira olaman. Va bu hech narsasiga ta'sir qilmaydi, to'loviga ham, davomatiga ham, shartnomasiga ham. Hammasi o'zaro bir-biriga bog'liq. Shuning uchun mana shu yerdan o'zgartirgan narsam hamma joyda o'zgaradi.","Mana hozir istalgan o'quvchini, istalgan ma'lumotini o'zgartira olaman.
Va bu hech narsasiga ta'sir qilmaydi, to'loviga ham, davomatiga ham, shartnomasiga ham.
Hammasi o'zaro bir-biriga bog'liq.
Mana uchun, mana mana shu yerdan o'zgartirgan narsam hamma joyda o'zgaradi.",mana hozir istalgan o'quvchini istalgan ma'lumotini o'zgartira olaman va bu hech narsasiga ta'sir qilmaydi to'loviga ham davomatiga ham shartnomasiga ham hammasi o'zaro bir-biriga bog'liq shuning uchun mana shu yerdan o'zgartirgan narsam hamma joyda o'zgaradi,mana hozir istalgan o'quvchini istalgan ma'lumotini o'zgartira olaman va bu hech narsasiga ta'sir qilmaydi to'loviga ham davomatiga ham shartnomasiga ham hammasi o'zaro bir-biriga bog'liq mana uchun mana mana shu yerdan o'zgartirgan narsam hamma joyda o'zgaradi,0.0588,0.9692,19.365375,"Mana hozir istalgan o'quvchini istalgan ma'lumotini o'zgartira olaman. Va bu hech narsasiga ta'sir qilmaydi, to'loviga ham, davomatiga ham, shartnomasiga ham. Hammasi o'zaro bir-biriga bog'liq. Misol uchun mana shu yerdan o'zgartirgan narsam hamma joyda o'zgaradi."
1,17141.wav,"joylab watch sass tugmasini bosadigan bo'lsak, mana ko'rishingiz mumkin, demak, boya aytib o'tganimdek, margin 0, padding 0 va list style none, xuddi shu yozgan","joylab, watch SAS tugmasini bosadigan boʻlsak, mana koʻrishingiz mumkin, demak, boya aytib oʻtganimdek, margin nol, padding nol va list style none xuddi shu yozgan",joylab watch sass tugmasini bosadigan bo'lsak mana ko'rishingiz mumkin demak boya aytib o'tganimdek margin nol padding nol va list style none xuddi shu yozgan,joylab watch sas tugmasini bosadigan bo'lsak mana ko'rishingiz mumkin demak boya aytib o'tganimdek margin nol padding nol va list style none xuddi shu yozgan,0.0417,0.9968,12.35,"joylab watch sass tugmasini bosadigan bo'lsak, mana ko'rishingiz mumkin, demak, boya aytib o'tganimdek, margin 0, padding 0 va list style none, xuddi shu yozgan"
2,11139.wav,"email joylaymiz. Ular orqali ham biz o'sha masalan obunachilar olishimiz mumkin, foydalanuvchilar olishimiz mumkin. Keyin o'sha referral dedim yoki masalan boshqa har xil platformadan foydalanib, Facebook orqali, LinkedIn orqali har xil","email jo'natamiz. Ular orqali ham biz o'sha, e-e, masalan obunachilar olishimiz mumkin, foydalanuvchilar olishimiz mumkin. Keyin o'sha referral dedim, yoki masalan boshqa har xil platformadan foydalanib Facebook orqali, LinkedIn orqali, har xil",email joylaymiz ular orqali ham biz o'sha masalan obunachilar olishimiz mumkin foydalanuvchilar olishimiz mumkin keyin o'sha referral dedim yoki masalan boshqa har xil platformadan foydalanib facebook orqali linkedin orqali har xil,email jo'natamiz ular orqali ham biz o'sha e-e masalan obunachilar olishimiz mumkin foydalanuvchilar olishimiz mumkin keyin o'sha referral dedim yoki masalan boshqa har xil platformadan foydalanib facebook orqali linkedin orqali har xil,0.0645,0.8522,17.413375,"email jo'natamiz. Ular orqali ham biz o'sha masalan obunachilar olishimiz mumkin, foydalanuvchilar olishimiz mumkin. Keyin o'sha referral dedim yoki masalan boshqa har xil platformadan foydalanib, Facebook orqali, LinkedIn orqali har xil"
3,13073.wav,"Burnoutdan siz umuman uzoqlashib chiqasiz. Umuman dasturlashdan, kompyuterdan, telefonlardan uzoqlashib, do'stlar bilan yurishingiz mumkin, o'sha stol tennisi o'ynashingiz mumkin, boshqa bir sport turi bo'lishi mumkin, zalga chiqishingiz mumkin va hokazo. Shular orqali chiqsa bo'ladi.","burnoutdan siz umuman uzoqlashib chiqasiz. Umuman dasturlashdan, kompyuterdan, telefonlardan uzoqlashib, do'stlar bilan yurishingiz mumkin, o'sha stol tennis o'ynashingiz mumkin, boshqa bir sport turi bo'lishi mumkin, zalga chiqishingiz mumkin, va hokazo. Shular orqali chiqsa bo'ladi.",burnoutdan siz umuman uzoqlashib chiqasiz umuman dasturlashdan kompyuterdan telefonlardan uzoqlashib do'stlar bilan yurishingiz mumkin o'sha stol tennisi o'ynashingiz mumkin boshqa bir sport turi bo'lishi mumkin zalga chiqishingiz mumkin va hokazo shular orqali chiqsa bo'ladi,burnoutdan siz umuman uzoqlashib chiqasiz umuman dasturlashdan kompyuterdan telefonlardan uzoqlashib do'stlar bilan yurishingiz mumkin o'sha stol tennis o'ynashingiz mumkin boshqa bir sport turi bo'lishi mumkin zalga chiqishingiz mumkin va hokazo shular orqali chiqsa bo'ladi,0.0294,0.9982,18.608,"Burnoutdan siz umuman uzoqlashib chiqasiz. Umuman dasturlashdan, kompyuterdan, telefonlardan uzoqlashib, do'stlar bilan yurishingiz mumkin, o'sha stol tennisi o'ynashingiz mumkin, boshqa bir sport turi bo'lishi mumkin, zalga chiqishingiz mumkin va hokazo. Shular orqali chiqsa bo'ladi."
4,18940.wav,blankada o'zinglar haqinglarda ma'lumot to'ldirib chiqayotganinglar ham bu bir forma hisoblanadi va xuddi shuni bizlar,shu blankada oʻzinglar haqinglarda maʼlumot toʻldirib chiqayotganinglar ham bu bir forma hisoblanadi. Va xuddi shuni bizlar,blankada o'zinglar haqinglarda ma'lumot to'ldirib chiqayotganinglar ham bu bir forma hisoblanadi va xuddi shuni bizlar,shu blankada o'zinglar haqinglarda ma'lumot to'ldirib chiqayotganinglar ham bu bir forma hisoblanadi va xuddi shuni bizlar,0.0667,0.9833,7.86,shu blankada oʻzinglar haqinglarda maʼlumot toʻldirib chiqayotganinglar ham bu bir forma hisoblanadi. Va xuddi shuni bizlar
5,15127.wav,"ya'ni ko'p qirrali bo'lsinki, o'zi xohlagan bir anaqaga tushsa, o'zini yo'lini topib ketsin degan maqsadda shu mukammalroq ko'rinishda olganmiz. Bunda biz foydalangan materiallar mana Udemy'dagi top kurslar bo'lsin.","ya'ni ko'p qirrali bo'lsinki, o'zi xohlagan bir anaqaga tushsa, o'zini yo'lini topib ketsin degan maqsadda shu mukammalroq ko'rinishda olganmiz. Bunda biz foydalangan materiallar, mana Yudimidagi top kurslar bo'lsin.",ya'ni ko'p qirrali bo'lsinki o'zi xohlagan bir anaqaga tushsa o'zini yo'lini topib ketsin degan maqsadda shu mukammalroq ko'rinishda olganmiz bunda biz foydalangan materiallar mana udemy'dagi top kurslar bo'lsin,ya'ni ko'p qirrali bo'lsinki o'zi xohlagan bir anaqaga tushsa o'zini yo'lini topib ketsin degan maqsadda shu mukammalroq ko'rinishda olganmiz bunda biz foydalangan materiallar mana yudimidagi top kurslar bo'lsin,0.0357,0.9716,17.072,"ya'ni ko'p qirrali bo'lsinki, o'zi xohlagan bir anaqaga tushsa, o'zini yo'lini topib ketsin degan maqsadda shu mukammalroq ko'rinishda olganmiz. Bunda biz foydalangan materiallar mana Udemy'dagi top kurslar bo'lsin."
6,08114.wav,"Xudo xohlasa, bu endi nechinchi ish o'rninglar bilmadim-u, bu yog'iga undan ham yaxshiroq joylarga kirish nasib qilsin. Kompaniyalarga ishlayotgan joyinglarga manfaatli kadr bo'lishinglar nasib qilsin.","Xudo xohlasa, bu endi nechinchi ish o'rninglar bilmadim-u, buyog'iga undan ham yaxshiroq joylarga kirish nasib qilsin. Kompaniyalarga, ishlayotgan joyinglarga manfaatli kadr bo'lishinglar nasib qilsin.",xudo xohlasa bu endi nechinchi ish o'rninglar bilmadim-u bu yog'iga undan ham yaxshiroq joylarga kirish nasib qilsin kompaniyalarga ishlayotgan joyinglarga manfaatli kadr bo'lishinglar nasib qilsin,xudo xohlasa bu endi nechinchi ish o'rninglar bilmadim-u buyog'iga undan ham yaxshiroq joylarga kirish nasib qilsin kompaniyalarga ishlayotgan joyinglarga manfaatli kadr bo'lishinglar nasib qilsin,0.08,0.9975,13.392,"Xudo xohlasa, bu endi nechinchi ish o'rninglar bilmadim-u, bu yog'iga undan ham yaxshiroq joylarga kirish nasib qilsin. Kompaniyalarga ishlayotgan joyinglarga manfaatli kadr bo'lishinglar nasib qilsin."
7,06880.wav,"Bu yoq bunaqa narsalarni tushunmaydiganlarda, o'sha asosan mana bu mehnat qilishadi. O'shaning uchun aytib qo'yaman, mana shunaqa keyinchalik oyoqda tikka turib o'tirmaslik uchun hozir men shu yerda o'tirishim kerak deb javob beraman.","bu yoq bunaqa narsalarni tushunmaydiganlarda, o'sha asosan baribir mehnat qilishadi. O'shaning uchun aytib qo'yaman, e mana shunaqa keyinchalik oyoqda tikka turib o'tirmaslik uchun hozir men shu yerda o'tirishim kerak deb javob beraman.",bu yoq bunaqa narsalarni tushunmaydiganlarda o'sha asosan mana bu mehnat qilishadi o'shaning uchun aytib qo'yaman mana shunaqa keyinchalik oyoqda tikka turib o'tirmaslik uchun hozir men shu yerda o'tirishim kerak deb javob beraman,bu yoq bunaqa narsalarni tushunmaydiganlarda o'sha asosan baribir mehnat qilishadi o'shaning uchun aytib qo'yaman e mana shunaqa keyinchalik oyoqda tikka turib o'tirmaslik uchun hozir men shu yerda o'tirishim kerak deb javob beraman,0.0938,0.9654,18.5120625,"bu yoq bunaqa narsalarni tushunmaydiganlarda, o'sha asosan baribir mehnat qilishadi. O'shaning uchun aytib qo'yaman, mana shunaqa keyinchalik oyoqda tikka turib o'tirmaslik uchun hozir men shu yerda o'tirishim kerak deb javob beraman."
8,09928.wav,"Agar biz eskicha bir yondashuvni qaraydigan bo'lsak, ular algoritm yordamida harakat qilmoqchi bo'lishgan, ya'ni kompyuterga xuddiki unday bo'lsa bunday qilasan, bunday bo'lsa bunday qilasan qilib o'rgatmoqchi bo'lishgan, lekin hayot bundan ko'ra juda murakkab. Siz hayotda masalan qaror qabul qilganingizda siz minglab narsalarni hisobga olib","agar biz eskicha bir yondashuvni qaraydigan bo'lsak, ular algoritm yordamida harakat qilmoqchi bo'lishgan. Ya'ni kompyuterga xuddi unday bo'lsa bunday qilasan, bunday bo'lsa bunday qilasan qilib o'rgatmoqchi bo'lishgan. lekin hayot bundan ko'ra juda murakkab. Siz hayotda masalan qaror qabul qilganingizda, siz minglab narsalarni hisobga olib",agar biz eskicha bir yondashuvni qaraydigan bo'lsak ular algoritm yordamida harakat qilmoqchi bo'lishgan ya'ni kompyuterga xuddiki unday bo'lsa bunday qilasan bunday bo'lsa bunday qilasan qilib o'rgatmoqchi bo'lishgan lekin hayot bundan ko'ra juda murakkab siz hayotda masalan qaror qabul qilganingizda siz minglab narsalarni hisobga olib,agar biz eskicha bir yondashuvni qaraydigan bo'lsak ular algoritm yordamida harakat qilmoqchi bo'lishgan ya'ni kompyuterga xuddi unday bo'lsa bunday qilasan bunday bo'lsa bunday qilasan qilib o'rgatmoqchi bo'lishgan lekin hayot bundan ko'ra juda murakkab siz hayotda masalan qaror qabul qilganingizda siz minglab narsalarni hisobga olib,0.0227,0.997,17.9786875,"Agar biz eskicha bir yondashuvni qaraydigan bo'lsak, ular algoritm yordamida harakat qilmoqchi bo'lishgan, ya'ni kompyuterga xuddiki unday bo'lsa bunday qilasan, bunday bo'lsa bunday qilasan qilib o'rgatmoqchi bo'lishgan, lekin hayot bundan ko'ra juda murakkab. Siz hayotda masalan qaror qabul qilganingizda siz minglab narsalarni hisobga olib"
9,15069.wav,"Undan tashqari yana boshqa anaqalarimiz bor. Bularni mana o'zimiz anaqa qilgan, mana Rossiya uchun qilib berilgan ish.","undan tashqari yana boshqa anaqalarimiz bor. Bulardan mana o'zimiz anaqa qilgan, mana Rossiya uchun qilib berilgan ish.",undan tashqari yana boshqa anaqalarimiz bor bularni mana o'zimiz anaqa qilgan mana rossiya uchun qilib berilgan ish,undan tashqari yana boshqa anaqalarimiz bor bulardan mana o'zimiz anaqa qilgan mana rossiya uchun qilib berilgan ish,0.0588,0.987,10.757375,"undan tashqari yana boshqa anaqalarimiz bor. Bulardan mana o'zimiz anaqa qilgan, mana Rossiya uchun qilib berilgan ish."
