id,path,duration,type,char_count,word_count,text_spt,text_original,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
0,00003.wav,9.05,train,126.0,15.0,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mahirday platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mohirdev platformasiga rahmat.,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mahirday platformasiga rahmat,darajadagi bilimlarni olishingiz mumkin ekan men o'zim shaxsan tajribamdan shu narsani bildim mohirdev platformasiga rahmat,0.0667,0.0244,0.9756,15,15
1,00068.wav,10.9386875,train,100.0,11.0,nima texnologiyada ishlaganliklarini spiskasini bersanglar bu hech qanaqangi tasavvur bermaydi.,asli nima texnologiyada ishlaganligilarni spiskasini bersanglar bu hech qanaqangi tasavvur bermaydi.,nima texnologiyada ishlaganliklarini spiskasini bersanglar bu hech qanaqangi tasavvur bermaydi,asli nima texnologiyada ishlaganligilarni spiskasini bersanglar bu hech qanaqangi tasavvur bermaydi,0.2,0.0851,0.9534,10,11
2,00094.wav,16.3566875,train,183.0,23.0,aniq bilmadim misol aldab turib bilaman deb yubormagan yaxshi boshlang'ich shu rejimi boshqa ishlarni yuborgandan keyin o'rganishga kirishib olish kerak imkoniyat bo'lsa savol,"aniq bilmadim, misol aldab turib bilaman devormagan yaxshi. boshlang'ich shu rezyumeni, boshqa ishlarni yuborgandan keyin, uje o'rganishga kirishib olish kerak imkoniyat bo'lsa. savol",aniq bilmadim misol aldab turib bilaman deb yubormagan yaxshi boshlang'ich shu rejimi boshqa ishlarni yuborgandan keyin o'rganishga kirishib olish kerak imkoniyat bo'lsa savol,aniq bilmadim misol aldab turib bilaman devormagan yaxshi boshlang'ich shu rezyumeni boshqa ishlarni yuborgandan keyin uje o'rganishga kirishib olish kerak imkoniyat bo'lsa savol,0.1739,0.08,0.9518,23,23
3,00138.wav,11.4486875,train,165.0,22.0,"Ha, ha, ha bo'ldi tushundim. Demak ishlayotganlar kamroq komment qilar ekan. Endi ishga kirmoqchi bo'lganlarda bunaqa bo'lishi g'alati emasmi deb so'ralgan.","Ha. Ha, ha, bo'ldi, tushundim. Demak, ishlayotganlarni o'zi kamroq commit qilar ekan. Endi ishga kirmoqchi bo'lganlarda bunaqa bo'lishi g'alati emasmi deb so'ralgan.",ha ha ha bo'ldi tushundim demak ishlayotganlar kamroq komment qilar ekan endi ishga kirmoqchi bo'lganlarda bunaqa bo'lishi g'alati emasmi deb so'ralgan,ha ha ha bo'ldi tushundim demak ishlayotganlarni o'zi kamroq commit qilar ekan endi ishga kirmoqchi bo'lganlarda bunaqa bo'lishi g'alati emasmi deb so'ralgan,0.1429,0.0662,0.961,21,22
4,00139.wav,13.6586875,train,126.0,19.0,"kerak bo'ladi. Bu haqida aytib oldim. Endi tadqiqotni o'zi nima edi? Shuni aytib beradigan bo'lsam, chatdan xabar olaman.",kerak boʻladi. Bu haqida aytib oldim. endi tadqiqotni oʻzi nima edi? Shuni aytib beradigan boʻlsam. Chatdan xabar olib olaman.,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olaman,kerak bo'ladi bu haqida aytib oldim endi tadqiqotni o'zi nima edi shuni aytib beradigan bo'lsam chatdan xabar olib olaman,0.0556,0.0431,0.9789,18,19
5,00140.wav,16.1226875,train,162.0,23.0,"Keyin qanaqa qilib GitHubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A, yo'q, fatality emas, stability. Ya'ni sizni","keyin qanaqa qilib Githubda e'tibor tortish mumkin, profilingizda deb aytiladigan bo'lsa, u narsani siri fatality. A yo'q, fatality emas. C stability. Ya'ni sizni",keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas stability ya'ni sizni,keyin qanaqa qilib githubda e'tibor tortish mumkin profilingizda deb aytiladigan bo'lsa u narsani siri fatality a yo'q fatality emas c stability ya'ni sizni,0.0455,0.013,0.9935,22,23
6,00167.wav,14.6186875,train,238.0,27.0,"o'chirishidan bilmadim. Ikkinchisida forward qilmasdan tashlagandim qarab ko'rasizmi deb. A profil nomini o'zgartirib boshqa odam deb o'ylaydi deb o'yladingizmi? Shunaqa maqsaddami desam, yo'q, portfolioni ko'rsatish edi maqsad deyaptilar.","o'chirishidan bilmadim. ikkinchisida forward qilmasdan tashlagandim qarab ko'rasizmi deb. profil nomini o'zgartirib boshqa odam deb o'ylaydi deb bo'ladingizmi? shunaqa maqsaddanmi desam, yo'q, portfolioni ko'rsatish edi maqsad deyaptilar.",o'chirishidan bilmadim ikkinchisida forward qilmasdan tashlagandim qarab ko'rasizmi deb a profil nomini o'zgartirib boshqa odam deb o'ylaydi deb o'yladingizmi shunaqa maqsaddami desam yo'q portfolioni ko'rsatish edi maqsad deyaptilar,o'chirishidan bilmadim ikkinchisida forward qilmasdan tashlagandim qarab ko'rasizmi deb profil nomini o'zgartirib boshqa odam deb o'ylaydi deb bo'ladingizmi shunaqa maqsaddanmi desam yo'q portfolioni ko'rsatish edi maqsad deyaptilar,0.1071,0.0215,0.9806,28,27
7,00187.wav,13.477375,train,148.0,22.0,Shunaqa ko'rinishda tasavvur qilaman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. Mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilmayman bu narsani. Ozgina mehr berish kerak. Mana bu narsa undan ham oshib tushgan. Qaranglar. mana zoom in qilaman.,shunaqa ko'rinishda tasavvur qilaman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,shunaqa ko'rinishda tasavvur qilmayman bu narsani ozgina mehr berish kerak mana bu narsa undan ham oshib tushgan qaranglar mana zoom in qilaman,0.0455,0.0142,0.993,22,22
8,00189.wav,12.191375,train,86.0,12.0,"Xo'p, yaxshi savollar kelibdi yana, ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.","yaxshi savollar kelibdi yana. Ularni belgilab oldim. Demak, men so'radim, qiyinmi deb.",xo'p yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,yaxshi savollar kelibdi yana ularni belgilab oldim demak men so'radim qiyinmi deb,0.0769,0.0581,0.9701,13,12
9,00204.wav,11.324,train,133.0,19.0,"Bir fikr kelgan ekan, bolalar kibrlanib ketgan, ulardan boshqa dasturchilar yo'q deb. Shunaqalar ham bordir. Bugun bitta","bir fikr kelgan ekan, bolalar kibirlanib ketgan, ulardan boshqa dasturchilar yo'q deb.
shunaqalar ham bordir. Bugun bitta vashe anavi",bir fikr kelgan ekan bolalar kibrlanib ketgan ulardan boshqa dasturchilar yo'q deb shunaqalar ham bordir bugun bitta,bir fikr kelgan ekan bolalar kibirlanib ketgan ulardan boshqa dasturchilar yo'q deb shunaqalar ham bordir bugun bitta vashe anavi,0.1765,0.1121,0.9469,17,19
