id,path,type,duration,text_cyrillic,text_latin,text_spt,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,word_count,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
0,040-173_augmented_spd_pch.wav,train,9.3208,Бечора Нармин битта яхшилик қилиб юборди. Бозорга унинг чоршафини ёпиниб бордим.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,0.0,0.0,1.0,11,11,11,True,0.9774,True,False,False,AugmentationType.SPEED|PITCH
1,040-173_augmented_spd_nse.wav,train,9.7187,Бечора Нармин битта яхшилик қилиб юборди. Бозорга унинг чоршафини ёпиниб бордим.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,0.0,0.0,1.0,11,11,11,True,0.9374,False,True,False,AugmentationType.SPEED|NOISE
2,040-173_augmented_pch_msk.wav,train,9.1103,Бечора Нармин битта яхшилик қилиб юборди. Бозорга унинг чоршафини ёпиниб бордим.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,0.0,0.0,1.0,11,11,11,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
3,040-173_augmented_nse_msk.wav,train,9.1103,Бечора Нармин битта яхшилик қилиб юборди. Бозорга унинг чоршафини ёпиниб бордим.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,Bechora Narmin bitta yaxshilik qilib yubordi. Bozorga uning chorshafini yopinib bordim.,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,bechora narmin bitta yaxshilik qilib yubordi bozorga uning chorshafini yopinib bordim,0.0,0.0,1.0,11,11,11,False,1.0,False,True,False,AugmentationType.NOISE|TIME_MASK
4,027-60_augmented_spd_pch.wav,train,9.9474,"— Ҳеч... Жамила хонимга бериб қўйинглар, деб мактаб қоровулига шу хатни ташлаб кетишган экан. — Менга бер уни.","— Hech... Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. — Menga ber uni.","Hech Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. Menga ber uni.",hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,0.0,0.0,1.0,16,16,18,True,0.9701,True,False,False,AugmentationType.SPEED|PITCH
5,027-60_augmented_spd_nse.wav,train,12.8128,"— Ҳеч... Жамила хонимга бериб қўйинглар, деб мактаб қоровулига шу хатни ташлаб кетишган экан. — Менга бер уни.","— Hech... Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. — Menga ber uni.","Hech Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. Menga ber uni.",hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,0.0,0.0,1.0,16,16,18,True,0.7532,False,True,False,AugmentationType.SPEED|NOISE
6,027-60_augmented_pch_msk.wav,train,9.65,"— Ҳеч... Жамила хонимга бериб қўйинглар, деб мактаб қоровулига шу хатни ташлаб кетишган экан. — Менга бер уни.","— Hech... Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. — Menga ber uni.","Hech Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. Menga ber uni.",hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,0.0,0.0,1.0,16,16,18,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
7,027-60_augmented_nse_msk.wav,train,9.65,"— Ҳеч... Жамила хонимга бериб қўйинглар, деб мактаб қоровулига шу хатни ташлаб кетишган экан. — Менга бер уни.","— Hech... Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. — Menga ber uni.","Hech Jamila xonimga berib qo'yinglar, deb maktab qorovuliga shu xatni tashlab ketishgan ekan. Menga ber uni.",hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,hech jamila xonimga berib qo'yinglar deb maktab qorovuliga shu xatni tashlab ketishgan ekan menga ber uni,0.0,0.0,1.0,16,16,18,False,1.0,False,True,True,AugmentationType.NOISE|TIME_MASK
8,034-123_augmented_spd_pch.wav,train,16.9305,"Масалан, кеча бир ярадорнинг уйидан келган хатини ўқиб бердим. Ярадор солдатнинг қари онаси камбағаллик қийнаб юборганини, болалари очликдан тиланчилик қила бошлаганини ёзибди.","Masalan, kecha bir yaradorning uyidan kelgan xatini o'qib berdim. Yarador soldatning qari onasi kambag'allik qiynab yuborganini, bolalari ochlikdan tilanchilik qila boshlaganini yozibdi.","Masalan, kecha bir yaradorning uyidan kelgan xatini o'qib berdim. Yarador soldatning qari onasi kambag'allik qiynab yuborganini, bolalari ochlikdan tilanchilik qila boshlaganini yozibdi.",masalan kecha bir yaradorning uyidan kelgan xatini o'qib berdim yarador soldatning qari onasi kambag'allik qiynab yuborganini bolalari ochlikdan tilanchilik qila boshlaganini yozibdi,masalan kecha bir yaradorning uyidan kelgan xatini o'qib berdim yarador soldatning qari onasi kambag'allik qiynab yuborganini bolalari ochlikdan tilanchilik qila boshlaganini yozibdi,0.0,0.0,1.0,22,22,22,True,1.1308,True,False,False,AugmentationType.SPEED|PITCH
9,034-123_augmented_spd_nse.wav,train,20.458,"Масалан, кеча бир ярадорнинг уйидан келган хатини ўқиб бердим. Ярадор солдатнинг қари онаси камбағаллик қийнаб юборганини, болалари очликдан тиланчилик қила бошлаганини ёзибди.","Masalan, kecha bir yaradorning uyidan kelgan xatini o'qib berdim. Yarador soldatning qari onasi kambag'allik qiynab yuborganini, bolalari ochlikdan tilanchilik qila boshlaganini yozibdi.","Masalan, kecha bir yaradorning uyidan kelgan xatini o'qib berdim. Yarador soldatning qari onasi kambag'allik qiynab yuborganini, bolalari ochlikdan tilanchilik qila boshlaganini yozibdi.",masalan kecha bir yaradorning uyidan kelgan xatini o'qib berdim yarador soldatning qari onasi kambag'allik qiynab yuborganini bolalari ochlikdan tilanchilik qila boshlaganini yozibdi,masalan kecha bir yaradorning uyidan kelgan xatini o'qib berdim yarador soldatning qari onasi kambag'allik qiynab yuborganini bolalari ochlikdan tilanchilik qila boshlaganini yozibdi,0.0,0.0,1.0,22,22,22,True,0.9358,False,True,False,AugmentationType.SPEED|NOISE
