id,path,predicted_sentence,error_message,error_type
0,00046.wav,"va qavs ichida aytyapman, murojaat qilayotganda ""open name"" so'zini yuboring.",,
1,00003.wav,darajadagi bilimlarni olishingiz mumkin ekan. Men o'zim shaxsan tajribamdan shu narsani bildim. Mahirday platformasiga rahmat.,,
2,00009.wav,Keyin Naruto animestini ko'rganlar bo'lishi mumkin. Pain Konohaga xujum qilganda Almighty Push deydida.,,
3,00091.wav,Karton movies sizni ozgina time-outga qo'yaman.,,
4,00085.wav,"tekshirish ham bo'lmaganda, shunaqa o'zaro urishgan. Statistika shunaqa, man",,
5,00017.wav,"course bu kurs bo'lsa, curse degan so'z bor, o'chib qolsa bu qarg'ish.",,
6,00088.wav,bo'ladi shunga biror nima deya olmayman. Bu juda ham nisbiy masala. Keyingisi,,
7,00047.wav,"Bu haligi tupurish haqidagi gap ketgandan keyin yaxshi taassurot bo'lmaydi, negativga yurishni boshlaydi.",,
8,00048.wav,"odam mismi yo, odam mismi bo'lsin. Menda holatda sizning familiya bor edi. A bu yerda bo'lsa rezume GP deb aytirgan va o'g'il bolani profilidan yozgan odam qiz bolani profildan forward qilyapti. Yaxshi emas bunisi.",,
9,00068.wav,nima texnologiyada ishlaganliklarini spiskasini bersanglar bu hech qanaqangi tasavvur bermaydi.,,
10,00022.wav,"Nimaga hamma yangi chiqqan veb-dasturlash kurslarida Instagramga, Amazonga, Facebookga o'xshagan narsalar qilasizlar deb joy yuborishadi yoki bular fekmi? Odatda nega bu kurslarda bunga o'xshagan biror bir loyihani kloni qilinadi? Chunki",,
11,00034.wav,"kerakli narsalarni berdim. Ba'zi birlarini loyihasida ko'rdim, juda ham kerak bo'lmagan narsalar qarashib tashlagan, bu plyusdan ko'ra ko'proq minusga ishlab qo'yarkan qarasam. Shuning uchun bunda me'yor bilish kerak. Keyin, commit xabarlar.",,
12,00094.wav,aniq bilmadim misol aldab turib bilaman deb yubormagan yaxshi boshlang'ich shu rejimi boshqa ishlarni yuborgandan keyin o'rganishga kirishib olish kerak imkoniyat bo'lsa savol,,
