path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
407724.wav,uzbek_voice,Denis Istomin Nottingemdagi tennis turnirida Monakoni mag'lub etdi.,Denis Istomin notingemdagi tennis turnirida monakoni mag'lub etdi.,0.25,Denis Istomin Nottingemdagi tennis turnirida Monakoni mag'lub etdi.,Denis Istomin notingemdagi tennis turnirida monakoni mag'lub etdi.,0.25,0.0448,0.9624,8,8
246159.wav,uzbek_voice,Biz yordam berishga hamisha tayyormiz.,Biz yordam berishga hamisha tayyormiz.,0.0,Biz yordam berishga hamisha tayyormiz.,Biz yordam berishga hamisha tayyormiz.,0.0,0.0,1.0,5,5
197402.wav,uzbek_voice,Ayol uchun do'stlik katta ahamiyatga ega emas.,Ayol uchun do'stlik katta ahamiyatga ega emas.,0.0,Ayol uchun do'stlik katta ahamiyatga ega emas.,Ayol uchun do'stlik katta ahamiyatga ega emas.,0.0,0.0,1.0,7,7
324918.wav,uzbek_voice,Savol: Musobaqada ishtirok etadigan jamoalar ma'lummi?,"Savol, musobaqada ishtirok etadigan jamoalar ma'lummi?",0.3333,Savol: Musobaqada ishtirok etadigan jamoalar ma'lummi?,"Savol, musobaqada ishtirok etadigan jamoalar ma'lummi?",0.3333,0.037,0.963,6,6
841434.wav,uzbek_voice,Birlashgan Millatlar Tashkilotini ham darhol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,Birlashgan Millatlar Tashkilotini hamdar hol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,0.1667,Birlashgan Millatlar Tashkilotini ham darhol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,Birlashgan Millatlar Tashkilotini hamdar hol xalqaro qurolli kuchlar bilan ta'minlashni boshlash kerak.,0.1667,0.0194,0.9903,12,12
00017346_2.wav,news,"qog'ozini ham sotib olsa ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisat qilib, bu yoqdan pulni yeb yotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor.","U qog'ozini ham sotib olsak ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisad qilib, bu yoqdan pulni yebayotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor?",0.2,"qog'ozini ham sotib olsa ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisat qilib, bu yoqdan pulni yeb yotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor.","U qog'ozini ham sotib olsak ko'chadan, hech kim e'tibor qilmasa, bu yoqdan unga qog'oz beradigan tashkilotlar qog'ozni spisad qilib, bu yoqdan pulni yebayotgan bo'lsa, lekin unga berilayotgan o'zini nimasi bor?",0.2,0.029,0.5947,30,30
124976.wav,uzbek_voice,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,0.0,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,Ustozlari uni buyuk kelajak kutayotganiga amin edi.,0.0,0.0,1.0,7,7
727107.wav,uzbek_voice,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,0.0,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,Bu hol eksport raqobatbardoshligini va rivojlanish imkoniyatlarini sezilarli darajada kamaytiradi.,0.0,0.0,1.0,10,10
102992.wav,uzbek_voice,Lekin Nargizaning professional mahorati yuqori darajada.,Lekin Nargizaning professional mahorati yuqori darajada.,0.0,Lekin Nargizaning professional mahorati yuqori darajada.,Lekin Nargizaning professional mahorati yuqori darajada.,0.0,0.0,1.0,6,6
common_voice_uz_31876215.wav,common_voice,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,0.0,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,Qayerdadir uchrashgan kishilar qachondir yana ko'rishib qoladilar.,0.0,0.0,1.0,7,7
