id,path,predicted_sentence,error_message,error_type
0,common_voice_uz_28907243.mp3,"Bu jumladan, ""fag'ona falakka chiqib"" birikmasi ibora bo'lgani uchun vergul talab qilmaydi.",,
1,common_voice_uz_29253549.mp3,Keyin bugungi tantanamiz siz aziz buvijonimiz va dadajonimizga bag'ishlanadi.,,
2,common_voice_uz_29253661.mp3,Toshkent City hududida Hilton avto ekspo ko'rgazmasi bo'lib o'tadi.,,
3,common_voice_uz_29253949.mp3,"Ha, to'plagan boylik hisobini Robbiga qanday berajagini",,
4,common_voice_uz_29253135.mp3,Shu o'rinda savol tug'iladi. Ko'zlaringiz irodangizning ta'minlovchisi ekanidan xabaringiz bormi?,,
5,common_voice_uz_28936758.mp3,"Oshingda quyosh charaqlab turganda, zingdan qolmaydigan, boshingga bulut kelganida xiyonat qiladigan do'st dushman.",,
6,common_voice_uz_28907398.mp3,Sen o'z uyingni bermayotganing va shuning uchun ular ham buni qabul qilmasliklarini aytadi.,,
7,common_voice_uz_29253566.mp3,Xotira va qadrlash kuni munosabati bilan xalqimizning ezgu fazilatlari yanada yorqin namoyon bo'ladi.,,
8,common_voice_uz_28936828.mp3,Ana shunda hech kim seni yig'loqi yoki janjalkash deb atashga bahona bo'lmaydi.,,
9,common_voice_uz_29253441.mp3,Shavkat Mirziyoyev migrantlar daromadini soliqqa tortish bo'yicha o'z pozitsiyasini ma'lum qildi.,,
10,common_voice_uz_29253951.mp3,"Ko'zimizni ochmasak, jamiyat ichidagi guruhlarning birlashuvga xizmat qilmasak.",,
11,common_voice_uz_29254237.mp3,Buxoro viloyati Buxoro viloyati Olkent tumanidagi qishloq nomi. Qishloq yilga qadar Tojiklar deb atalgan.,,
12,common_voice_uz_29254323.mp3,Oksidlanish ekzotermik reaksiyasi jarayonida yonuvchi modda o'zidan ko'plab issiqlik quvvatini chiqaradi.,,
13,common_voice_uz_29253992.mp3,O'ylab qarasam avvalgilardagi fayz baraka sababi o'zaro mehr oqibatda ekan.,,
14,common_voice_uz_29254485.mp3,"Ko'p marta aytilganidek, tanlanmagan va hisoblanmagan ma'muriyatdan yaxshilik kutmang.",,
15,common_voice_uz_29254254.mp3,Zaif fana shu zaif xazinligi bilan yurakka allaniki hasrat soladigan ovozi eshitila boshladi.,,
16,common_voice_uz_29254601.mp3,"Ayniqsa, dunyoning ishlari, ikki eshik orasi, tushda kechgan umrlar asarlari.",,
17,common_voice_uz_29254343.mp3,"Ha, men yedim zaharimni. Qutildimmi? Boring, uyga kirib choyingizni iching.",,
18,common_voice_uz_29254710.mp3,Ushbu qonunning ijrosini yetkazilishini mohiyati va ahamiyatini tushuntirilishini ta'minlash.,,
19,common_voice_uz_29254511.mp3,"Hurmatli Vagit Yusufovich, sizning kompaniyangiz o'zbek xalqini haqorat qiladi va haqorat qiladi.",,
