id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
1502,04164.wav,"qanaqa, ya'ni talab nimaga qarab bo'layapti, buni o'rganish kerak, qarash kerak, o'quv markazlari masalan yoki universitetlar nima o'rgatishyapti. Bunga to'g'ri javob yo'q, ya'ni konkret men misol uchun sizga yo'q Pythonni o'rganinglar, Python zo'r til, faqat Python bilan ketinglar deya olmayman, chunki","qanaqa, ya'ni talab nimaga qarab bo'lyapti? Buni o'rganish kerak, qarash kerak. o'quv markazlar, masalan, yoki universitetlar nima o'rgatishyapti? Bunga to'g'ri javob yo'q. Ya'ni konkretno men misol uchun sizga yo'q Python o'rganinglar, Python zo'r til, faqat Python bilan ketinglar deya olmayman. Chunki ikki",qanaqa ya'ni talab nimaga qarab bo'layapti buni o'rganish kerak qarash kerak o'quv markazlari masalan yoki universitetlar nima o'rgatishyapti bunga to'g'ri javob yo'q ya'ni konkret men misol uchun sizga yo'q pythonni o'rganinglar python zo'r til faqat python bilan ketinglar deya olmayman chunki,qanaqa ya'ni talab nimaga qarab bo'lyapti buni o'rganish kerak qarash kerak o'quv markazlar masalan yoki universitetlar nima o'rgatishyapti bunga to'g'ri javob yo'q ya'ni konkretno men misol uchun sizga yo'q python o'rganinglar python zo'r til faqat python bilan ketinglar deya olmayman chunki ikki,0.122,0.9815,19.845375,"qanaqa, ya'ni talab nimaga qarab bo'lyapti, buni o'rganish kerak, qarash kerak, o'quv markazlari masalan yoki universitetlar nima o'rgatishyapti. Bunga to'g'ri javob yo'q, ya'ni konkret men misol uchun sizga yo'q Pythonni o'rganinglar, Python zo'r til, faqat Python bilan ketinglar deya olmayman, chunki"
1138,13236.wav,"Hattoki mana shu katta kompaniyalarning o'zida ham aytiladi, universitet diplomi bo'lmasa ham ishga olinish haqida.","a, hattoki mana shu katta kompaniyalarni o'zida ham aytiladi, o'sha universitet diplomi bo'lmasa ham ishga olinish haqida.",hattoki mana shu katta kompaniyalarning o'zida ham aytiladi universitet diplomi bo'lmasa ham ishga olinish haqida,a hattoki mana shu katta kompaniyalarni o'zida ham aytiladi o'sha universitet diplomi bo'lmasa ham ishga olinish haqida,0.2,0.9569,10.672,"Hattoki mana shu katta kompaniyalarni o'zida ham aytiladi, universitet diplomi bo'lmasa ham ishga olinish haqida."
559,05838.wav,mana ko'rishinglar mumkin floating labelsga,"bo'lsak, mana ko'rishinglar mumkin, floating labelsga",mana ko'rishinglar mumkin floating labelsga,bo'lsak mana ko'rishinglar mumkin floating labelsga,0.2,0.9149,5.0400625,mana ko'rishinglar mumkin floating labelsga
541,05560.wav,"Bugun bizni sizlar bilan 24-darsimiz va bugungi darsda biz Bootstrapning yana ikki komponenti offcanvas va pagination nima ekanligini ko'rib, bilib, kod yozib yanada yaxshiroq tushunib olamiz.","Bugun bizlar sizlar bilan 24- darsimiz va bugungi darsda biz bootstrapning yana ikki komponenti off canvas va pagination nima ekanligini koʻrib, bilib, kod yozib yanada yaxshiroq tushunib olamiz.",bugun bizni sizlar bilan yigirma to'rtinchi darsimiz va bugungi darsda biz bootstrapning yana ikki komponenti offcanvas va pagination nima ekanligini ko'rib bilib kod yozib yanada yaxshiroq tushunib olamiz,bugun bizlar sizlar bilan yigirma to'rt- darsimiz va bugungi darsda biz bootstrapning yana ikki komponenti off canvas va pagination nima ekanligini ko'rib bilib kod yozib yanada yaxshiroq tushunib olamiz,0.1429,0.9706,19.7706875,"Bugun bizni sizlar bilan 24-darsimiz va bugungi darsda biz Bootstrapning yana ikki komponenti offcanvas va pagination nima ekanligini ko'rib, bilib, kod yozib yanada yaxshiroq tushunib olamiz."
1482,03902.wav,"version control demak, bu endi o'sha versiya nazorati deymiz.","version control, demak, bu endi o'sha versiya nazorati deyman.",version control demak bu endi o'sha versiya nazorati deymiz,version control demak bu endi o'sha versiya nazorati deyman,0.1111,0.9661,5.744,"version control demak, bu endi o'sha versiya nazorati deymiz."
181,20827.wav,"Ikkinchisi backend, backend mavzusiga keladigan bo'lsak, mana o'zi React hali ham mashhurligini ushlab qolishini bitta sababi menimcha Nextdan bo'ldi. Chunki Nextdan ushlab qoldi. Next chiqqandan keyin Vercel uni support qilishni boshladi, qo'llab-quvvatlashni. I hozir ko'plar, men o'zim kuzatayotgan odamlarim","ikkinchisi backend, backend mavzusiga keladigan bo'lsak, mana o'zi React hali ham mashhurligini ushlab qolishini bitta sababi menimcha Next ham bo'ldi. Chunki Next ham ushlab qoldi. Next chiqqandan keyin Vercel polniy uni support qilishni boshladi, qo'llab-quvvatlashni. I hozir ko'plar, men o'zim kuzatayotgan odamlarim...",ikkinchisi backend backend mavzusiga keladigan bo'lsak mana o'zi react hali ham mashhurligini ushlab qolishini bitta sababi menimcha nextdan bo'ldi chunki nextdan ushlab qoldi next chiqqandan keyin vercel uni support qilishni boshladi qo'llab-quvvatlashni i hozir ko'plar men o'zim kuzatayotgan odamlarim,ikkinchisi backend backend mavzusiga keladigan bo'lsak mana o'zi react hali ham mashhurligini ushlab qolishini bitta sababi menimcha next ham bo'ldi chunki next ham ushlab qoldi next chiqqandan keyin vercel polniy uni support qilishni boshladi qo'llab-quvvatlashni i hozir ko'plar men o'zim kuzatayotgan odamlarim,0.1282,0.966,19.7600625,"Ikkinchisi backend, backend mavzusiga keladigan bo'lsak, mana o'zi React hali ham mashhurligini ushlab qolishini bitta sababi menimcha Nextdan bo'ldi. Chunki Next ham ushlab qoldi. Next chiqqandan keyin Vercel uni to'liq support qilishni boshladi, qo'llab-quvvatlashni va hozir ko'plar, men o'zim kuzatayotgan odamlarim"
122,12862.wav,"o'zlari markaziy bankda 10 yildan ortiq ishlab, keyin o'sha MBA qilayotgan ekanlar, MBAmi? Master of Science anaqada, Finance edi adashmasam, Finance edi.","o'zlari markaziy bankda 10 yildan ziyod ishlab, keyin o'sha MBA qilayotgan ekanlarda, MBAmi? Master Master Master science anaqada, finance edi adashmasam, finance edi.",o'zlari markaziy bankda o'n yildan ortiq ishlab keyin o'sha mba qilayotgan ekanlar mbami master of science anaqada finance edi adashmasam finance edi,o'zlari markaziy bankda o'n yildan ziyod ishlab keyin o'sha mba qilayotgan ekanlarda mbami master master master science anaqada finance edi adashmasam finance edi,0.1818,0.9196,14.757375,"o'zlari markaziy bankda 10 yildan ziyod ishlab, keyin o'sha MBA qilayotgan ekanlar, MBAmi? Master of Science anaqada, Finance edi adashmasam, Finance edi."
1584,02969.wav,"Demak, bu shu resurslarga qanchalik accessni ta'minlash haqida oddiy bir, juda ham oddiy bir misol keltiraman. Mana hammamiz, deyarli hammamiz ishlatadigan Google Docs-ni aytaylik.",demak bu shu resurslarga qanchalik accessni shu ta'minlash haqida. oddiy bir judayam oddiy bir misol keltiraman. mana hammamiz deyarli hammamiz ishlatadigan Google Docs aytaylik.,demak bu shu resurslarga qanchalik accessni ta'minlash haqida oddiy bir juda ham oddiy bir misol keltiraman mana hammamiz deyarli hammamiz ishlatadigan google docs-ni aytaylik,demak bu shu resurslarga qanchalik accessni shu ta'minlash haqida oddiy bir judayam oddiy bir misol keltiraman mana hammamiz deyarli hammamiz ishlatadigan google docs aytaylik,0.1667,0.9714,18.085375,"Demak, bu shu resurslarga qanchalik accessni ta'minlash haqida oddiy bir, juda ham oddiy bir misol keltiraman. Mana hammamiz, deyarli hammamiz ishlatadigan Google Docsni aytaylik."
1280,10725.wav,"demak shunaqa narsalar bo'lyapti. O'tgan yili mana shov-shuvga sabab bo'lgan GPT-3 degan algoritm chiqdi, to'g'iroq model chiqdi. Ko'pchilik bu modelni noto'g'ri tushundi. Bu modelga savollar berishdi, savol bersa bu model javob qaytaradi sizga.","demak shunaqa narsalar bo'lyapti. O'tgan yili mana shov-shuvga sabab bo'lgan GPT uch degan algoritm chiqdi. to'g'rirog'i model chiqdi. Ko'pchilik u modelni noto'g'ri tushundi. Bu modelga savollar berishdi, savol bersa, u model javob qaytaradi sizga.",demak shunaqa narsalar bo'lyapti o'tgan yili mana shov-shuvga sabab bo'lgan gpt-uch degan algoritm chiqdi to'g'iroq model chiqdi ko'pchilik bu modelni noto'g'ri tushundi bu modelga savollar berishdi savol bersa bu model javob qaytaradi sizga,demak shunaqa narsalar bo'lyapti o'tgan yili mana shov-shuvga sabab bo'lgan gpt uch degan algoritm chiqdi to'g'rirog'i model chiqdi ko'pchilik u modelni noto'g'ri tushundi bu modelga savollar berishdi savol bersa u model javob qaytaradi sizga,0.1515,0.5507,14.1280625,"demak shunaqa narsalar bo'lyapti. O'tgan yili mana shov-shuvga sabab bo'lgan GPT-3 degan algoritm chiqdi, to'g'irog'i model chiqdi. Ko'pchilik bu modelni noto'g'ri tushundi. Bu modelga savollar berishdi, savol bersa bu model javob qaytaradi sizga."
1171,18206.wav,"Kitoblar qaytadigan bo'lsak, kitoblar ko'rib turganimizdek, ko'pi C yoki boshqa tillarda yozilgan bo'lgani bilan, lekin","Kutubxonalarga qaytadigan boʻlsak, kutubxonalar koʻrib turganimizdek, koʻpi C yoki boshqa tillarda yozilgan boʻgani bilan, lekin...",kitoblar qaytadigan bo'lsak kitoblar ko'rib turganimizdek ko'pi c yoki boshqa tillarda yozilgan bo'lgani bilan lekin,kutubxonalarga qaytadigan bo'lsak kutubxonalar ko'rib turganimizdek ko'pi c yoki boshqa tillarda yozilgan bo'gani bilan lekin,0.2,0.9212,10.821375,"Kutubxonalarga qaytadigan bo'lsak, kutubxonalar ko'rib turganimizdek, ko'pi C yoki boshqa tillarda yozilgan bo'lgani bilan, lekin"
