id,path,predicted_sentence,error_message,error_type
0,00000064.wav,pulini professor bu 400 dollar pulni cho'ntak puli qilib olganman.,,
1,00000071.wav,bo'sh turgan,,
2,00000007.wav,"Ikkita founder bitta kompaniyada ishlagan paytida odamlarni orasida biz anaqa ko'rdik, nima deydi?",,
3,00000051.wav,"Hammasi, demak, murakkab bizneslar qilishadi-da. Misol uchun, mana Zafar aka misolida oladigan bo'lsak, unaqa biznes qilish uchun yaxshigina o'qish kerak-da.",,
4,00000053.wav,"qildim, keyin postdo, keyin associate professor bo'ldim, ya'ni faqat mana shu yo'ldan kelganman.",,
5,00000020.wav,"va o'rniga mutaxassis topilmayapti. Misol uchun, meni o'sha paytda kiber xavfsizlik yo'nalishida uni ham tor yo'nalishi bor edi. Mana bu simsiz aloqalar xavfsizligi, Wi-Fi shunaqalar xavfsizligi edi. Deyarli mutaxassis yo'qda, juda kam. Kelib dars beradigani undan ham kam.",,
6,00000081.wav,"sohaga sohaga bog'liq, masalan IT sohasida oliy ta'lim juda o'rni tushib ketib qoldi, to'g'risida tan olish kerak, chunki",,
7,00000062.wav,"Ta'lim sohasi o'zi umuman xususiy sektorga o'tib ketishi kerakmi yo davlat mas'ul bo'lgan bir sohami, nima deb o'ylaysiz?",,
8,00000004.wav,"Nimaga? Malayziyada yaxshi universitetlar bor. Malayziyada hayot juda ham arzon. U yerda O'zbekistondan ham arzon. Va bu yerdagi, masalan, ota-onasi yaxshi ishlayotgan bo'lsa, deylik, otasini yoki onasining oyligining bir qismiga bolasini boqa oladi. Kontraktlar ham arzonroq.",,
9,00000061.wav,"o'rgangan narsalarim hammasi eskirib bo'lgan. Hamma narsa self-study, meniki, to'g'rimi? Shu paytgacha hozir o'rganayotgan narsalarimiz self-study bo'lib qolgan. Lekin hamma ham mana endi onlayn ta'limda bilamiz, self-studida bitiruvchilar soni",,
10,00000114.wav,ko'p narsa o'rgandik. Asosiysi,,
11,00000035.wav,"va boshda u kompaniyaga asos solmagan, oddiy sotuvchi bo'lgan, lekin sotuv yaxshi ko'rgani uchun sotuvchi ham bo'lganda. Hamma bosqichlardan o'tgan va nima bu kompaniyaning, masalan Nike bugungi kunda eng muvaffaqiyatli sport kompaniyalaridan biri hisoblanadi, desangiz muvaffaqiyatga qilgan sababi nima? Yaxshi ko'rgani.",,
12,00000086.wav,"jalb qila olmaysizlar. Bular mana bu arzon vaynerlarni ko'radigan auditoriyada. Lekin mana yil o'tdi. Birinchidan bizning kanalimiz obunachilar soni oshdi va hammasidan qiziq statistika, masalan, obunachilar soni agar son jihatdan qarasangiz bir 2-3 mingga ko'tarilgan xolos.",,
13,00000087.wav,"tizim orqali o'zini dasturi bor, buni dastur orqali ro'yxat o'tasizda, darsga kirasiz, qatnashasiz, hamma narsani o'rgatadi sizga. Bu ko'rgazmalardan maqsad o'zi birinchidan yangi texnologiyalar bilan tanishish, yangiliklar bilan tanishish, undan tashqari har xil hamkorliklar uchun bir platforma sifatida ham ishlatishadi.",,
14,00000124.wav,"Gemini sistemasi, ChatGPT ni analogi deylik, aynan ta'lim uchun yo'naltirilgan loyihalarni ko'rsatib berishdi bu safar.",,
15,00000045.wav,"Shu narsaga dadam ahamiyat bergan, bilimni qadrini o'sha paytda, masalan, biz ko'zimiz bilan ko'rib turganmiz, bilimni qadri yo'q davrni ko'rganmizda. O'shanda ham dadam bizni ishontirgan, yo'q sizlar ishoninglar, vaqti keladi, mana shu bilimlaringlar sizlarga hayotda katta narsa beradi deb. Mana o'sha davrga keldikda, misol uchun hozir.",,
16,00000048.wav,"oila meni o'zim uchun shaxsan juda ham bir qiziq oila va o'ylaymanki, juda ham ko'pchilik uchun ham o'rnak bo'ladi mana sizlardagi ko'nikmalar, tadbirkorlik bo'lsin bu, ilmga chanqoqlik bo'lsin, bir yaxshi nom qoldirish bo'lsin, Jahongirda ham ko'rdim sizni mana Anvar sizda ham ko'rdim.",,
17,00000098.wav,"Zerikarli, oddiy, eski Sovet davridan qolib ketgan qanaqadir eski binolar quramizda. Endi-endi mana bu katta osmono'par binolar paydo bo'lgandir-ku, lekin bular hammasi kelib, xitoyliklar, turklar kelib kuryapti bizlarda. O'zimiz qurayotganimiz yo'qda.",,
18,00000115.wav,"mana shu narsa muhimda. A progrev qilganda u narsa qiziq emas marketologga. Hammaga ko'rsatadi, ya'ni shunaqa qiziqtiradiki, olmayman deganlarga ham sotadida majburlabda.",,
19,00000120.wav,"va bu yerda bitta narsa bor-da, ko'pchilik tushunmaydigan narsa, biznes hech qachon bir joyda turmaydi. Biznes yoki o'sadi yoki qulaydi. Ya'ni tekis yo'l yo'q biznes uchun, hech qachonda. Ya'ni o'ylash mumkin, masalan, bir maromda ketaman deb o'ylaydi, unaqa yo'q biznesda.",,
20,00000132.wav,"Britaniyada eng oldi maktablardan biri Oksforddagi Said Business School'da ta'lim olyapsiz, oldingiz bilishim bo'yicha. U haqida taassurotlaringiz qanaqa? Taassurotlar zo'r. Umuman haligi",,
21,00000144.wav,yoki dedi o'zlari davom ettirasizlarmi dedi.,,
22,00000173.wav,yashirin iqtisodiyot bilan kurashish yangi pog'onaga olib chiqilishini,,
23,00000130.wav,"boyagi aytgan tavsiyamga o'zim amal qilishni boshlamaganman, ya'ni faqat o'qishga fokus o'qirdim, boshida faqat o'qiganman. Keyinchalik har xil ishlar boshlaganman, biznes boshlaganman va hokazo o'sha paytlar.",,
24,00000134.wav,"ya'ni darajasi past. Masalan, biz konkurentlarimizni ko'ramiz, mana yana ikkinchi biz qilmaydigan narsa",,
25,00000170.wav,Sababi ko'plari xususiy sektorga bermaslik uchun narxni sun'iy oshirib yuborilgan.,,
26,00000121.wav,"Pirlavkani orqa taraf turish men uchun shunaqangi haligi bo'lmasdi, oldiga o'tirib olardim. Lekin muvaffaqiyatli tadbirkor bo'lish uchun bu juda ham kerakli ko'nikma emasmi? Kerak, kerak. Mana tadbirkorlik boshlaganimdan keyin juda ham ko'p o'zimga yoqmaydigan ishlarni qilaman. Majbur qilaman, qilaman. Qilmaysiz emas. Lekin",,
27,00000146.wav,"va o'sha joylarda eng men uchun qiyin joy hali ham o'sha narxlarni soddalash. Masalan, keladi, endi bu necha pul bo'ladi deydi. Mana shu joylarda qiynalasiz.",,
28,00000171.wav,Iqtisodiy kompleksdagi o'rinbosarlar soni 15% ga qisqartiriladi. Soliq qo'mitasi tuzilmasi qayta ko'rib chiqiladi.,,
29,00000178.wav,"ko'pligi sababli bo'lmoqda, dedi prezident. Mas'ullarga 2024-yilda qo'shilgan qiymatni 45% dan oshirish, tannarxni 15% ga kamaytirish.",,
30,00000189.wav,"Bizni hali kelajakda ham juda ham ko'p uzoq vaqt foydasi bizga juda ham katta. Lekin shu bilan birgalikda o'sha antibiotiklarni ham o'ziga yarasha juda katta salbiy ta'sirlari bor. Uni es-yodimizdan chiqarish kerak emas. Endi, masalan, men",,
31,00000187.wav,"Standart, elementar bu xalqni kelajagi bu narsa. Bu, masalan, ertaga bizlarda O'zbekistonda rostini aytay, beskontrolni yozib berish. Masalan, men xohladim shuni yozib berishni, men shuni yozib beraman.",,
32,00000221.wav,"Agar bemorda penitsilinga allergiyasi bo'lgan bo'lsa, unda keyingisi bu klaritromitsin, masalan.",,
33,00000206.wav,"bola student bola institutda o'qiyapti, qanday to'g'ri standartlar, to'g'ri o'sha standartga asoslanib o'shani qilish kerak.",,
